cve_id,date_of_report,cve_type,root_cause,security_tactic,total_impacted_files,code_churn,issue_tracking_url,patch_url
CVE-2008-6994,2008-09-5 09:54:12 UTC,NON-TACTICAL,,,1,18,http://bugs.chromium.org/p/chromium/issues/detail?id=1414,https://src.chromium.org/viewvc/chrome?revision=1766&view=revision
CVE-2008-6995,2008-09-02 21:03:13 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,2,6,https://bugs.chromium.org/p/chromium/issues/detail?id=122,https://codereview.chromium.org/408
CVE-2009-1412,2009-04-08 10:32:19 UTC,TACTICAL,CWE-88 Argument Injection or Modification,Validate Inputs,1,36,http://bugs.chromium.org/p/chromium/issues/detail?id=9860,https://codereview.chromium.org/79077
CVE-2009-1413,2009-04-08 10:32:19 UTC,NON-TACTICAL,,,1,36,https://bugs.chromium.org/p/chromium/issues/detail?id=9860,https://codereview.chromium.org/79077
CVE-2009-1414,2009-04-8 10:32:19 UTC,NON-TACTICAL,,,1,36,http://bugs.chromium.org/p/chromium/issues/detail?id=9860,https://codereview.chromium.org/79077
CVE-2009-1441,2009-04-23 01:17:23 UTC,NON-TACTICAL,,,2,57,http://bugs.chromium.org/p/chromium/issues/detail?id=10869,https://codereview.chromium.org/99033
CVE-2009-1442,2009-04-19 19:40:58 UTC,NON-TACTICAL,,,1,16,https://bugs.chromium.org/p/chromium/issues/detail?id=10736,http://src.chromium.org/viewvc/chrome?view=rev&revision=14454
CVE-2009-2060,2009-02-03 09:05:11 UTC,TACTICAL,CWE-287 Improper Authentication,Authenticate Actors,2,23,"http://bugs.chromium.org/p/chromium/issues/detail?id=8473, http://bugs.chromium.org/p/chromium/issues/detail?id=7338, http://src.chromium.org/viewvc/chrome?view=rev&revision=11669",https://src.chromium.org/viewvc/chrome?revision=11669&view=revision
CVE-2009-2071,2009-02-03 09:05:11 UTC,TACTICAL,CWE-287 Improper Authentication,Authenticate Actors,2,23,"https://bugs.chromium.org/p/chromium/issues/detail?id=7338,https://bugs.chromium.org/p/chromium/issues/detail?id=8473",https://src.chromium.org/viewvc/chrome?revision=11669&view=revision
CVE-2009-2121,2009-06-18 04:05:26 UTC,NON-TACTICAL,,,2,10,http://bugs.chromium.org/p/chromium/issues/detail?id=14508,https://codereview.chromium.org/131021
CVE-2009-2555,2009-06-19 16:44:48 UTC,NON-TACTICAL,,,2,40,http://bugs.chromium.org/p/chromium/issues/detail?id=14719,http://codereview.chromium.org/141042
CVE-2009-2935,2009-08-6 16:43:37 UTC,NON-TACTICAL,,,30,66,http://bugs.chromium.org/p/chromium/issues/detail?id=18639,https://codereview.chromium.org/4312
CVE-2009-2973,2009-08-07 00:05:56 UTC,TACTICAL,CWE-295 Improper Certificate Validation,Identify Actors,9,81,http://bugs.chromium.org/p/chromium/issues/detail?id=18725,"https://codereview.chromium.org/164115,https://codereview.chromium.org/165426,https://codereview.chromium.org/164460,https://codereview.chromium.org/165504"
CVE-2009-3263,2009-09-7 22:41:03 UTC,TACTICAL,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),Validate Inputs,1,13,http://bugs.chromium.org/p/chromium/issues/detail?id=21238,https://codereview.chromium.org/201044
CVE-2009-3264,2009-09-9 01:24:43 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,8,94,http://bugs.chromium.org/p/chromium/issues/detail?id=21338,https://trac.webkit.org/changeset/48240
CVE-2009-3931,2009-10-6 20:36:46 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,7,http://bugs.chromium.org/p/chromium/issues/detail?id=23979,"https://src.chromium.org/viewvc/chrome?revision=28385&view=revision,https://src.chromium.org/viewvc/chrome?revision=28235&view=revision"
CVE-2009-3933,2009-10-27 02:06:08 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,1,1,https://bugs.chromium.org/p/chromium/issues/detail?id=25892,https://codereview.chromium.org/339039
CVE-2009-3934,2009-09-17 23:20:53 UTC,NON-TACTICAL,,,1,7,https://bugs.chromium.org/p/chromium/issues/detail?id=22205,https://codereview.chromium.org/326015
CVE-2010-0315,2010-01-14 22:57:54 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,25,652,"https://bugs.chromium.org/p/chromium/issues/detail?id=32309
http://nomoreroot.blogspot.com/2010/01/little-bug-in-safari-and-google-chrome.html","https://codereview.chromium.org/554076,https://codereview.chromium.org/553088"
CVE-2010-0556,2010-01-20 18:27:22 UTC,NON-TACTICAL,CWE-522 Insufficiently Protected Credentials,Encrypt Data,1,26,https://bugs.chromium.org/p/chromium/issues/detail?id=32718,https://src.chromium.org/viewvc/chrome?revision=36829&view=revision
CVE-2010-0643,2009-05-20 03:22:59 UTC,TACTICAL,CWE-779 Logging of Excessive Data,Audit,12,459,https://bugs.chromium.org/p/chromium/issues/detail?id=12303,https://codereview.chromium.org/502068
CVE-2010-0644,2009-12-9 21:11:47 UTC,TACTICAL,CWE-779 Logging of Excessive Data,Audit,6,437,http://bugs.chromium.org/p/chromium/issues/detail?id=29914,"https://codereview.chromium.org/507048,http://codereview.chromium.org/507033"
CVE-2010-0645,2009-12-22 20:05:30 UTC,NON-TACTICAL,,,5,146,http://bugs.chromium.org/p/chromium/issues/detail?id=31009,http://codereview.chromium.org/525064
CVE-2010-0646,2009-12-22 20:05:30 UTC,NON-TACTICAL,,,5,146,http://bugs.chromium.org/p/chromium/issues/detail?id=31009,http://codereview.chromium.org/525064
CVE-2010-0647,2010-01-06 20:34:53 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,37,1416,https://bugs.chromium.org/p/chromium/issues/detail?id=31692,"http://codereview.chromium.org/556017,http://codereview.chromium.org/554075"
CVE-2010-0649,2010-01-22 21:25:31 UTC,NON-TACTICAL,,,3,192,http://bugs.chromium.org/p/chromium/issues/detail?id=32915,"https://codereview.chromium.org/553082,https://codereview.chromium.org/555093"
CVE-2010-0651,2009-04-08 19:24:09 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,24,247,https://bugs.chromium.org/p/chromium/issues/detail?id=9877,https://codereview.chromium.org/525051
CVE-2010-0656,2009-08-27 23:12:20 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,2,12,https://bugs.chromium.org/p/chromium/issues/detail?id=20450,http://codereview.chromium.org/384015
CVE-2010-0657,2009-10-2 22:43:29 UTC,TACTICAL,CWE-138 Improper Neutralization of Special Elements,Validate Inputs,3,30,http://bugs.chromium.org/p/chromium/issues/detail?id=23693,https://codereview.chromium.org/524017
CVE-2010-0658,2009-10-07 08:43:47 UTC,NON-TACTICAL,,,12,66,"https://bugs.chromium.org/p/chromium/issues/detail?id=24071,https://bugs.chromium.org/p/chromium/issues/detail?id=24646,https://bugs.chromium.org/p/chromium/issues/detail?id=8864","http://src.chromium.org/viewvc/chrome?view=rev&revision=33863,http://src.chromium.org/viewvc/chrome?view=rev&revision=34418"
CVE-2010-0659,2009-11-23 14:44:59 UTC,TACTICAL,CWE-829 Inclusion of Functionality from Untrusted Control Sphere,Limit Exposure,5,70,https://bugs.chromium.org/p/chromium/issues/detail?id=28566,https://codereview.chromium.org/521039
