cve_id,date_of_report,cve_type,root_cause,security_tactic,total_impacted_files,code_churn,issue_tracking_url,patch_url
CVE-2002-2436,2002-05-29 04:29:00 UTC,NON-TACTICAL,,,139,3542,https://bugzilla.mozilla.org/show_bug.cgi?id=147777,"https://bugzilla.mozilla.org/attachment.cgi?id=431542,https://bugzilla.mozilla.org/attachment.cgi?id=431543,https://bugzilla.mozilla.org/attachment.cgi?id=431540,https://bugzilla.mozilla.org/attachment.cgi?id=434901,https://bugzilla.mozilla.org/attachment.cgi?id=433167,https://bugzilla.mozilla.org/attachment.cgi?id=431544,https://bugzilla.mozilla.org/attachment.cgi?id=434902,https://bugzilla.mozilla.org/attachment.cgi?id=436071,https://bugzilla.mozilla.org/attachment.cgi?id=431537,https://bugzilla.mozilla.org/attachment.cgi?id=431536,https://bugzilla.mozilla.org/attachment.cgi?id=431535,https://bugzilla.mozilla.org/attachment.cgi?id=431527,https://bugzilla.mozilla.org/attachment.cgi?id=431533,https://bugzilla.mozilla.org/attachment.cgi?id=431532,https://bugzilla.mozilla.org/attachment.cgi?id=431531,https://bugzilla.mozilla.org/attachment.cgi?id=431523,https://bugzilla.mozilla.org/attachment.cgi?id=87325,https://bugzilla.mozilla.org/attachment.cgi?id=431528,https://bugzilla.mozilla.org/attachment.cgi?id=431529,https://bugzilla.mozilla.org/attachment.cgi?id=431539,https://bugzilla.mozilla.org/attachment.cgi?id=431538,https://bugzilla.mozilla.org/attachment.cgi?id=343901,https://bugzilla.mozilla.org/attachment.cgi?id=431525,https://bugzilla.mozilla.org/attachment.cgi?id=433210,https://bugzilla.mozilla.org/attachment.cgi?id=433212,https://bugzilla.mozilla.org/attachment.cgi?id=435047,https://bugzilla.mozilla.org/attachment.cgi?id=435048,https://bugzilla.mozilla.org/attachment.cgi?id=434900"
CVE-2004-0648,2004-07-07 13:46:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,1,1,http://bugzilla.mozilla.org/show_bug.cgi?id=250180,https://bugzilla.mozilla.org/attachment.cgi?id=152534
CVE-2004-0757,2003-12-25 05:45:00 UTC,NON-TACTICAL,,,1,11,https://bugzilla.mozilla.org/show_bug.cgi?id=229374,https://bugzilla.mozilla.org/attachment.cgi?id=148899
CVE-2004-0761,2004-04-08 22:40:00 UTC,TACTICAL,CWE-297 Improper Validation of Certificate with Host Mismatch,Identify Actors,4,164,https://bugzilla.mozilla.org/show_bug.cgi?id=240053,"https://bugzilla.mozilla.org/attachment.cgi?id=145782,https://bugzilla.mozilla.org/attachment.cgi?id=152720"
CVE-2004-0762,2002-08-10 00:18:00 UTC,NON-TACTICAL,,,8,74,https://bugzilla.mozilla.org/show_bug.cgi?id=162020,https://bugzilla.mozilla.org/attachment.cgi?id=150067
CVE-2004-0764,2004-05-28 13:47:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,2,81,https://bugzilla.mozilla.org/show_bug.cgi?id=244965,"https://bugzilla.mozilla.org/attachment.cgi?id=149542,https://bugzilla.mozilla.org/attachment.cgi?id=149502,https://bugzilla.mozilla.org/attachment.cgi?id=149779"
CVE-2004-0765,2004-02-12 19:15:00 UTC,TACTICAL,CWE-295 Improper Certificate Validation,Identify Actors,3,54,https://bugzilla.mozilla.org/show_bug.cgi?id=234058,"https://bugzilla.mozilla.org/attachment.cgi?id=141379,https://bugzilla.mozilla.org/attachment.cgi?id=145667"
CVE-2004-0902,2003-11-24 20:16:00 UTC,NON-TACTICAL,,,4,221,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=258005,256316,245066,226669","https://bugzilla.mozilla.org/attachment.cgi?id=156344,https://bugzilla.mozilla.org/attachment.cgi?id=143785,https://bugzilla.mozilla.org/attachment.cgi?id=158152,https://bugzilla.mozilla.org/attachment.cgi?id=156918"
CVE-2004-0903,2004-08-29 13:23:00 UTC,NON-TACTICAL,,,1,15,https://bugzilla.mozilla.org/show_bug.cgi?id=257314,https://bugzilla.mozilla.org/attachment.cgi?id=157352
CVE-2004-0904,2004-08-10 19:57:00 UTC,NON-TACTICAL,,,3,12,https://bugzilla.mozilla.org/show_bug.cgi?id=255067,https://bugzilla.mozilla.org/attachment.cgi?id=157135
CVE-2004-0906,2004-01-16 11:25:00 UTC,TACTICAL,CWE-732 Incorrect Permission Assignment for Critical Resource,Authorize Actors,5,125,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=235781,231083","https://bugzilla.mozilla.org/attachment.cgi?id=155103,https://bugzilla.mozilla.org/attachment.cgi?id=142413,https://bugzilla.mozilla.org/attachment.cgi?id=142369"
CVE-2004-0907,2004-08-04 17:36:00 UTC,TACTICAL,CWE-732 Incorrect Permission Assignment for Critical Resource,Authorize Actors,3,25,https://bugzilla.mozilla.org/show_bug.cgi?id=254303,"https://bugzilla.mozilla.org/attachment.cgi?id=155731,https://bugzilla.mozilla.org/attachment.cgi?id=157344"
CVE-2004-0908,2004-08-31 13:18:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,2,23,https://bugzilla.mozilla.org/show_bug.cgi?id=257523,"https://bugzilla.mozilla.org/attachment.cgi?id=157668,https://bugzilla.mozilla.org/attachment.cgi?id=160498,https://bugzilla.mozilla.org/attachment.cgi?id=157608"
CVE-2004-0909,2004-08-01 20:53:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,3,150,https://bugzilla.mozilla.org/show_bug.cgi?id=253942,https://bugzilla.mozilla.org/attachment.cgi?id=157478
CVE-2004-1449,2003-05-23 09:46:00 UTC,NON-TACTICAL,,,4,57,https://bugzilla.mozilla.org/show_bug.cgi?id=206859,https://bugzilla.mozilla.org/attachment.cgi?id=137698
CVE-2005-0142,2004-07-14 04:47:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,1,6,https://bugzilla.mozilla.org/show_bug.cgi?id=251297,https://bugzilla.mozilla.org/attachment.cgi?id=163020
CVE-2005-0148,2004-10-08 22:24:00 UTC,NON-TACTICAL,,,20,508,https://bugzilla.mozilla.org/show_bug.cgi?id=263546,https://bugzilla.mozilla.org/attachment.cgi?id=162443
CVE-2005-0149,2004-11-06 15:51:00 UTC,TACTICAL,CWE-279 Incorrect Execution-Assigned Permissions,Authorize Actors,2,5,https://bugzilla.mozilla.org/show_bug.cgi?id=268107,"https://bugzilla.mozilla.org/attachment.cgi?id=165053,https://bugzilla.mozilla.org/attachment.cgi?id=167985"
CVE-2005-0255,2005-01-08 17:57:00 UTC,NON-TACTICAL,,,4,142,https://bugzilla.mozilla.org/show_bug.cgi?id=277549,"https://bugzilla.mozilla.org/attachment.cgi?id=174104,https://bugzilla.mozilla.org/attachment.cgi?id=174457"
CVE-2005-0399,2005-03-10 15:56:00 UTC,NON-TACTICAL,,,2,34,https://bugzilla.mozilla.org/show_bug.cgi?id=285595,"https://bugzilla.mozilla.org/attachment.cgi?id=187759,https://bugzilla.mozilla.org/attachment.cgi?id=177085"
CVE-2005-0590,2004-11-06 07:57:00 UTC,TACTICAL,CWE-20 Improper Input Validation,Validate Inputs,3,62,https://bugzilla.mozilla.org/show_bug.cgi?id=268059,"https://bugzilla.mozilla.org/attachment.cgi?id=189142,https://bugzilla.mozilla.org/attachment.cgi?id=174782"
CVE-2005-2261,2005-05-02 09:29:00 UTC,TACTICAL,CWE-279 Incorrect Execution-Assigned Permissions,Authorize Actors,5,149,"https://bugzilla.mozilla.org/buglist.cgi?bug_id=292591,292589","https://bugzilla.mozilla.org/attachment.cgi?id=183760,https://bugzilla.mozilla.org/attachment.cgi?id=183171,https://bugzilla.mozilla.org/attachment.cgi?id=185236,https://bugzilla.mozilla.org/attachment.cgi?id=183558,https://bugzilla.mozilla.org/attachment.cgi?id=183556"
CVE-2005-2353,2005-08-11 15:52:00 UTC,TACTICAL,CWE-284 Improper Access Control,Authorize Actors,1,13,https://bugzilla.mozilla.org/show_bug.cgi?id=304330,https://bugzilla.mozilla.org/attachment.cgi?id=192382
